Altitude,Temperature,Pressure,Density,Speed of Sound,Viscosity
alt,T,p,rho,a,mu
[ft],[F],[psia],[slug/ft^3],[ft/s],[lb-s/ft^s]
-1000,62.5662,15.2348,0.00244752,1120.28,3.81E-07
0,59,14.6959,0.00237717,1116.45,3.78E-07
1000,55.4338,14.1726,0.00230839,1112.61,3.76E-07
2000,51.8677,13.6644,0.00224114,1108.75,3.74E-07
3000,48.3015,13.1711,0.00217539,1104.88,3.72E-07
4000,44.7354,12.6923,0.00211114,1100.99,3.70E-07
5000,41.1692,12.2277,0.00204834,1097.09,3.68E-07
6000,37.603,11.777,0.00198698,1093.18,3.66E-07
7000,34.0369,11.3398,0.00192704,1089.25,3.64E-07
8000,30.4707,10.9159,0.0018685,1085.31,3.62E-07
9000,26.9046,10.5049,0.00181132,1081.36,3.60E-07
10000,23.3384,10.1065,0.00175549,1077.39,3.57E-07
11000,19.7722,9.7204,0.00170099,1073.4,3.55E-07
12000,16.2061,9.34636,0.00164779,1069.4,3.53E-07
13000,12.6399,8.98405,0.00159588,1065.39,3.51E-07
14000,9.07376,8.63321,0.00154522,1061.36,3.49E-07
15000,5.5076,8.29354,0.00149581,1057.31,3.47E-07
16000,1.94144,7.96478,0.00144761,1053.25,3.45E-07
17000,-1.62472,7.64665,0.00140061,1049.18,3.42E-07
18000,-5.19088,7.33889,0.00135479,1045.08,3.40E-07
19000,-8.75704,7.04123,0.00131012,1040.97,3.38E-07
20000,-12.3232,6.75343,0.00126659,1036.85,3.36E-07
21000,-15.8894,6.47523,0.00122417,1032.71,3.34E-07
22000,-19.4555,6.20638,0.00118285,1028.55,3.31E-07
23000,-23.0217,5.94664,0.0011426,1024.38,3.29E-07
24000,-26.5878,5.69578,0.00110341,1020.19,3.27E-07
25000,-30.154,5.45355,0.00106526,1015.98,3.25E-07
26000,-33.7202,5.21974,0.00102812,1011.75,3.22E-07
27000,-37.2863,4.9941,0.000991984,1007.51,3.20E-07
28000,-40.8525,4.77644,0.000956827,1003.24,3.18E-07
29000,-44.4186,4.56651,0.000922631,998.963,3.16E-07
30000,-47.9848,4.36413,0.000889378,994.664,3.13E-07
31000,-51.551,4.16906,0.00085705,990.347,3.11E-07
32000,-55.1171,3.98112,0.000825628,986.01,3.09E-07
33000,-58.6833,3.8001,0.000795096,981.655,3.06E-07
34000,-62.2494,3.6258,0.000765434,977.28,3.04E-07
35000,-65.8156,3.45803,0.000736627,972.885,3.02E-07
36000,-69.3818,3.29661,0.000708657,968.471,2.99E-07
37000,-69.7,3.14191,0.000675954,968.076,2.99E-07
38000,-69.7,2.99447,0.000644234,968.076,2.99E-07
39000,-69.7,2.85395,0.000614002,968.076,2.99E-07
40000,-69.7,2.72003,0.000585189,968.076,2.99E-07
41000,-69.7,2.59239,0.000557728,968.076,2.99E-07
42000,-69.7,2.47073,0.000531556,968.076,2.99E-07
43000,-69.7,2.35479,0.000506612,968.076,2.99E-07
44000,-69.7,2.24429,0.000482838,968.076,2.99E-07
45000,-69.7,2.13897,0.00046018,968.076,2.99E-07
46000,-69.7,2.0386,0.000438586,968.076,2.99E-07
47000,-69.7,1.94293,0.000418004,968.076,2.99E-07
48000,-69.7,1.85176,0.000398389,968.076,2.99E-07
49000,-69.7,1.76486,0.000379694,968.076,2.99E-07
50000,-69.7,1.68204,0.000361876,968.076,2.99E-07
51000,-69.7,1.60311,0.000344894,968.076,2.99E-07
52000,-69.7,1.52788,0.000328709,968.076,2.99E-07
53000,-69.7,1.45618,0.000313284,968.076,2.99E-07
54000,-69.7,1.38785,0.000298583,968.076,2.99E-07
55000,-69.7,1.32272,0.000284571,968.076,2.99E-07
56000,-69.7,1.26065,0.000271217,968.076,2.99E-07
57000,-69.7,1.20149,0.00025849,968.076,2.99E-07
58000,-69.7,1.14511,0.00024636,968.076,2.99E-07
59000,-69.7,1.09137,0.000234799,968.076,2.99E-07
60000,-69.7,1.04016,0.000223781,968.076,2.99E-07
61000,-69.7,0.991347,0.000213279,968.076,2.99E-07
62000,-69.7,0.944827,0.000203271,968.076,2.99E-07
63000,-69.7,0.900489,0.000193732,968.076,2.99E-07
64000,-69.7,0.858232,0.000184641,968.076,2.99E-07
65000,-69.7,0.817958,0.000175976,968.076,2.99E-07
